"Title","ISSN","AEA","SCIMAGO","JCI"
"Revista Espanola de Financiacion y Contabilidad","2332-0753",NA,"X",NA
"Revista Finanzas y Politica Economica","2011-7663",NA,"X",NA
"Revista Galega de Economia","1132-2799",NA,"X",NA
"Revista Galega de Economia","2255-5951",NA,"X",NA
"Revue d'Economie Industrielle","1773-0198",NA,"X",NA
"Risk and Decision Analysis","1875-9173",NA,"X",NA
"Risk Governance and Control: Financial Markets and Institutions (discontinued)","2077-4303",NA,"X",NA
"Risk Management","1460-3799",NA,"X",NA
"Risk Management","1743-4637",NA,"X",NA
"Risk Management and Insurance Review","1098-1616",NA,"X",NA
"Risk Management and Insurance Review","1540-6296",NA,"X",NA
"Rivista di Studi sulla Sostenibilita","2239-1959",NA,"X",NA
"Rivista di Studi sulla Sostenibilita","2239-7221",NA,"X",NA
"Scandinavian Actuarial Journal","0346-1238",NA,"X",NA
"Scandinavian Actuarial Journal","1651-2030",NA,"X",NA
"Scandinavian Journal of Economics","1467-9442",NA,"X",NA
"Science Technology and Human Values","0162-2439",NA,"X",NA
"Science Technology and Human Values","1552-8251",NA,"X",NA
"Scienze Regionali","2035-603X",NA,"X",NA
"Scottish Journal of Political Economy","1467-9485",NA,"X",NA
"Small Business Economics","1573-0913",NA,"X",NA
"Social Choice and Welfare","1432-217X",NA,"X",NA
"Social Marketing Quarterly","1524-5004",NA,"X",NA
"Social Marketing Quarterly","1539-4093",NA,"X",NA
"South African Journal of Economic and Management Sciences","2222-3436",NA,NA,"X"
"South African Journal of Economics","1813-6982",NA,"X",NA
"South Asian Journal of Macroeconomics and Public Finance","2321-0273",NA,"X",NA
"Sovremennaya Evropa","0201-7083",NA,"X",NA
"Space Policy","0265-9646",NA,"X",NA
"Space Policy","1879-338X",NA,"X",NA
"Statistika","1804-8765",NA,"X",NA
"Strategic Entrepreneurship Journal","1932-4391",NA,"X",NA
"Strategic Entrepreneurship Journal","1932-443X",NA,"X",NA
"Studies in Nonlinear Dynamics and Econometrics","1558-3708",NA,"X",NA
"Studies in Political Economy","0707-8552",NA,"X",NA
"Studies in Political Economy","1918-7033",NA,"X",NA
"Studies on Russian Economic Development","1075-7007",NA,"X",NA
"Studies on Russian Economic Development","1531-8664",NA,"X",NA
"Technological and Economic Development of Economy","2029-4913",NA,NA,"X"
"Technology and Economics of Smart Grids and Sustainable Energy","2199-4706",NA,"X",NA
"Teruleti Statisztika","0018-7828",NA,"X",NA
"Teruleti Statisztika","2064-8251",NA,"X",NA
"Tijdschrift Voor Economische en Sociale Geografie","0040-747X",NA,"X","X"
"Tijdschrift Voor Economische en Sociale Geografie","1467-9663",NA,"X",NA
"Transnational Corporations Review","1925-2099",NA,"X",NA
"Transport Policy","0967-070X",NA,NA,"X"
"Travail, Genre et Societes","1294-6303",NA,"X",NA
"UCJC Business and Society Review","2659-3270",NA,"X",NA
"VALUE IN HEALTH","1098-3015",NA,NA,"X"
"Voprosy Ekonomiki","0042-8736",NA,"X",NA
"Water Economics and Policy","2382-624X",NA,"X",NA
"Water Economics and Policy","2382-6258",NA,"X",NA
"Work, Employment and Society","0950-0170",NA,"X","X"
"World Bank Economic Review","1564-698X",NA,"X",NA
"World Bank Research Observer","1564-6971",NA,"X",NA
"World Competition","1875-8436",NA,"X",NA
"World Development","1873-5991",NA,"X",NA
"World Development Perspectives","2452-2929",NA,"X",NA
"World Economy","1467-9701",NA,"X",NA
"World Economy and International Relations","0131-2227",NA,"X",NA
"World Review of Entrepreneurship, Management and Sustainable Development","1746-0581",NA,"X",NA
"World Trade Review","1475-3138",NA,"X",NA
"Zbornik Radova Ekonomskog Fakultet au Rijeci","1846-7520",NA,"X",NA
"Zeitschrift fuÌˆr die gesamte Versicherungswissenschaft","0044-2585",NA,"X",NA
"Zeitschrift fuÌˆr die gesamte Versicherungswissenschaft","1865-9748",NA,"X",NA
"Zeitschrift fur Wirtschaftsgeographie","0044-3751",NA,"X","X"
